ID_occurrence	src.lang	fr1	KWIC.fr	fr2	lemma.fr	meaning.fr	es	form.fr	form.cs	form.en	form.es	form.it	form.pl	form.ru	dimension1	dimension2
19	cs	« Tu ne comprends rien , dit Marie-Anne , en	essayant	, sans se lever , de taper sur le ventre de son père , l' interprète principal est tellement beau .	essayer	concom	-Eres terrible -dijo Marie-Anne , tratando desde el suelo de golpear a su padre en la barriga- , el actor principal es hermoso .	ger	VF.coord	ing.part	ger	ger	VF.coord	Cvb.ps.impf	-0.19107123156063577	-0.2049838241625276
20	cs	Elle avait une image devant les yeux : un lièvre	détalant	dans un sillon , un garde-chasse au feutre vert et le clocher d' une église au-dessus de la forêt .	détaler	attributive	Tenía ante los ojos una imagen : el conejo corriendo por el surco , el cazador con el sombrero verde y la torre de la capilla por encima del bosque .	part	part	ing.part	ger	VF.sub.rel	part	part	0.2531694667315249	0.40776791678798197
21	cs	En se	tournant	successivement vers tous ses visages reflétés , il dit d' une voix faible et suraiguë de vieille dame :	se tourner	concom	Se volvía alternativamente hacia cada uno de sus rostros en los espejos y hablaba con voz débil y aguda de vieja dama :	ger	VF.coord	VF.coord	VF.coord	VF.coord	VF.coord	part	0.13969618153400262	-0.4845209605807204
24	fr	"" Monsieur Fix à bord ! "" répondit Passepartout , absolument surpris , en	reconnaissant	son compagnon de traversée du Mongolia .	reconnaître	cause	¡ El señor Fix a bordo !-respondió Picaporte , absolutamente sorprendido al reconocer a su compañero de travesía del "" Mongolia "" - .	ger	VF.sub.adv	ing.part	InfP	ger	Cvb.ps.impf	Cvb.pt.pf	-0.3371928405944111	0.12660046091480928
25	cs	N' était -ce pas plutôt la réaction hystérique d' un homme qui ,	comprenant	en son for intérieur son inaptitude à l' amour , commençait à se jouer à lui-même la comédie de l' amour ?	comprendre	cause	¿ No se trataba más bien de la histeria de un hombre que en lo más profundo de su alma ha tomado conciencia de su incapacidad d e amar y que por eso mismo empieza a fingir amor ante sí mismo ?	part	VF.coord	adj	VF.coord	ger	VF.coord	part	0.27911850844775227	-0.09382484547817849
26	cs	Elle n' avait pas pu y rester , son mari	étant	à la recherche d' un emploi urbain .	étant	cause	No podía quedarse en la granja porque su marido buscaba un puesto de trabajo en la ciudad .	part	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.main	0.21045840906828217	0.2528537187954259
29	cs	Elle le regardait en	souriant	, comme si elle savait qu' il allait venir .	sourir	concom	Le miraba con una sonrisa , como si supiera que iba a venir .	ger	PP	PP	PP	ger	PP	PP	-0.2579147082759805	-0.04907118288811805
32	cs	Ainsi , lors des arrivées de Lucie au grillage , je n' étais pas seul à l' observer , mais avec moi une bonne dizaine de copains	sachant	avec exactitude comment Lucie aimait , ce qu' alors elle disait ou comme elle soupirait , et chaque fois ils constataient d' un air entendu qu' elle était encore chaussée des escarpins noirs , et ils l' imaginaient nue , se promenant sur ces échasses d' un coin à l' autre de la petite chambre .	savoir	attributive	Así que cuando Lucie llegaba hasta la cerca , no la miraba yo solo , sino que conmigo la miraban por lo menos diez compañeros que sabían perfectamente cómo hacía el amor Lucie , qué decía y cómo suspiraba en tal situación , y siempre constataban con gran interés que otra vez tenía puestos los zapatos negros de tacón y se la imaginaban andando desnuda por la pequeña habitación .	part	VF.sub.rel	VF.sub.rel	VF.sub.rel	VF.sub.rel	VF.sub.rel	VF.sub.rel	0.3704110795259754	0.38416554228832034
33	cs	Accablé d' un terrible regret , je caressai sa tête dégarnie , ses longs cheveux fins qui tentaient tristement de couvrir sa calvitie , et je constatai avec frayeur que ce voyage dans ma ville natale où j' avais voulu atteindre le Zemanek haï m' amenait , pour finir , à porter dans mes bras mon copain terrassé ( oui , je me voyais à cet instant , le	tenant	sur mes bras , le tenant et le portant , immense et lourd , comme si j' avais porté ma propre faute obscure , je me voyais l' emportant à travers une foule , je me voyais en pleurs ) .	tenir	depictive	Oprimido por una enorme sensación de lástima le acaricié su coronilla rala , los tristes cabellos largos que cubrían la calvicie y advertí con temor que el viaje a mi ciudad natal , con el cual había pretendido herir a Zemanek terminaba sosteniendo yo en mis brazos a mi compañero herido ( sí , en ese momento me veía a mí mismo sosteniéndolo en mis brazos , sosteniéndolo y llevándolo , llevándolo a él , grande y pesado , como si llevara mi propia y confusa culpa , me veía llevándolo en medio de una multitud indiferente y llorando mientras lo llevaba ) .	part	VF.sub.compl	ing.part	ger	prep	VF.sub.pred	VF.main	0.1750572309811964	0.19108186455356765
34	cs	Il y avait là-dedans des phrases sur l' amour de l' Union soviétique et sur la fidélité au parti communiste , il y avait une condamnation des intellectuels qui , était -il écrit , voulaient conduire le pays à la guerre civile , mais surtout , il y avait une dénonciation de la rédaction de l' hebdomadaire des écrivains avec le nom du journaliste à la haute silhouette voûtée ( Tomas ne l' avait jamais rencontré mais connaissait son nom et sa photo ) qui l' avait délibérément abusé en	déformant	le sens de son article pour en faire un appel contre-révolutionnaire ;	déformer	manner	Había frases sobre el amor a la Unión Soviética , sobre la fidelidad al partido comunista , había una condena a los intelectuales que al parecer querían arrastrar al país a una guerra civil , pero , sobre todo , había una denuncia contra los redactores del semanario de la Unión de Escritores , incluido el nombre del redactor alto y encorvado ( Tomás no había hablado nunca con él pero sabía su nombre y le conocía de ver su foto en la prensa ) , que habían deformado conscientemente su artículo para cambiarle el sentido y transformarlo en una proclama contrarrevolucionaria ;	ger	VF.sub.adv	VF.sub.rel	VF.sub.rel	ger	VF.sub.adv	Cvb.pt.pf	-0.22963588305043367	0.11968046536420665
35	de	Si K. , épuisé de discours , faisait parfois remarquer que l’ affaire n’ avançait guère , même en	tenant	compte de toutes les difficultés , on lui répondait qu’ elle allait fort bien son petit chemin , mais qu’ elle en serait évidemment beaucoup plus loin si on s’ était adressé à temps à l’ avocat .	tenir compte de	concess	Si K algunas veces , agotado por el discurso , añadía que , teniendo en cuenta todas las dificultades , parecía que el asunto iba muy lento , se le replicaba que no iba nada lento , pero que ya habrían avanzado mucho más si K se hubiera dirigido al abogado en el momento oportuno .	ger	VF.sub.adv	conj	ger	ger	PP	Cvb.ps.impf	-0.36571321475106067	0.09791391330844582
36	cs	Ces vers ont tous un nombre de syllabes différent , les trochées , les iambes , les dactyles alternent , le sixième vers est étrangement plus long que les autres ; et bien que le poème se compose de deux quatrains , la première phrase grammaticale se termine asymétriquement dans le cinquième vers ,	créant	une mélodie qui n' existe nulle part ailleurs que dans ce seul et unique poème , aussi superbe que parfaitement ordinaire .	créer	result	Cada uno de los versos tiene un número distinto de sílabas , se alternan los troqueos , los yambos , los dáctilos , el sexto verso es curiosamente más largo que los demás y , a pesar de que se trata de dos estrofas de cuatro versos , la primera frase gramatical termina asimétricamente en el quinto verso , lo cual crea una melodía que jamás existió en ningún lugar antes que en este único poema , tan maravilloso como del todo corriente .	part	VF.sub.rel	VF.sub.rel	VF.sub.rel	ger	Cvb.ps.impf	VF.main	0.08292186422290385	0.2395571237568506
38	cs	Il a le verbe haut , il plaisante en	levant	tour à tour chaque genou , pour bien convaincre les deux sœurs de son enjouement de tonton , toujours prêt à se transformer en cheval de course pour le plaisir de ses petites nièces .	lever	concom	Habla en voz alta y bromea y levanta alternativamente una y otra pierna para que ninguna de las dos mujeres dude ni por un instante de que es un padrazo bueno y alegre , dispuesto a convertirse en cualquier momento para sus hijitas en un caballo de carreras .	ger	Cvb.ps.impf	ing.part	VF.coord	VF.coord	Cvb.ps.impf	Cvb.ps.impf	-0.19676949125919024	-0.22149173772999195
39	cs	À propos du rapport entre idéologie et imagolo-gie , j' ajoute encore ceci : les idéologies étaient comme d' immenses roues ,	tournant	en coulisse et déclenchant les guerres , les révolutions , les réformes .	tourner	attributive	En cuanto a la comparación entre la ideología y la imagología , querría añadir lo siguiente : las ideologías eran como enormes ruedas tras el escenario que daban vueltas y ponían en movimiento las guerras , las revoluciones , las reformas .	part	VF.sub.rel	ing.part	VF.sub.rel	VF.sub.rel	Cvb.ps.impf	part	0.20573728310971318	0.4057155985150959
41	ru	NA	montrant	son pantalon déchiré .	montrer	concom	-Estuve ayudando a los bomberos , messere -respondió Koróviev señalándose los pantalones rotos .	ger	VF.coord	ing.part	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.3226778357915015	-0.1025991065230747
43	it	C’ est dans cette bonne disposition d’ esprit que me vit mon maître quand , entraîné par mes pas et sans m’ en rendre compte ,	ayant	presque accompli un périple autour de l’ abbaye , je me retrouvai où nous nous étions quittés deux heures auparavant .	accomplir	anter	En tal excelente disposición de ánimo , me encontró mi maestro cuando , llevado por mis pasos y sin darme cuenta , después de haber dado casi toda la vuelta a la abadía , regresé al sitio donde dos horas antes nos habíamos separado .	part	VF.coord	VF.coord	InfP	part.past	VF.coord	VF.main	0.38212175174511376	-0.17932867596593038
44	cs	La larme dans l' œil de Laura était celle de l' émotion que suscitait chez Laura la vue d' une Laura décidée à faire le sacrifice de sa vie , en	restant	aux côtés du mari de sa sœur disparue .	rester	manner	La lágrima en el ojo de Laura era una lágrima debida a la emoción que sentía Laura al ver a Laura decidida a sacrificar toda su vida para permanecer junto al marido de su hermana muerta .	ger	VF.sub.adv	InfP	InfP	ger	Cvb.ps.impf	adj	-0.38371172643811674	0.07671405496236573
45	fr	Une heure après avoir quitté Bombay , le train ,	franchissant	les viaducs , avait traversé l' île Salcette et courait sur le continent .	franchir	concom	Una hora después de haber salido de Bombay , el tren , salvando los viaductos , había atravesado la isla Salcette y corría sobre el continente .	part	VF.coord	VF.coord	ger	ger	VF.coord	Cvb.ps.impf	0.07311364937223816	-0.1497738041548962
47	it	Grâce à quoi , j’ ai comme des pierres milliaires disposées le long des ans , et si j’ admets que Paul de Rimini devient bibliothécaire en 1265 , et abbé en 1275 , tout en	trouvant	ensuite que sa calligraphie , ou celle de quelqu’un d’ autre qui n’ est pas Robert de Bobbio , dure de 1265 à 1285 , je découvre une différence de dix années . »	trouver	concess	Así , las considero como piedras miliares dispuestas a lo largo de los años . En consecuencia , si supongo que Paolo da Rimini llegó al cargo de bibliotecario el año 1265 , y al de abad el año 1275 , y después observo que su caligrafía , o la de algún otro que no es Roberto da Bobbio , dura desde 1265 hasta 1285 , descubro una diferencia de diez años .	ger	VF.coord	VF.coord	VF.coord	VF.coord	VF.coord	VF.main	0.18010939682461688	-0.49948442370716034
50	ru	Avec révérence et rond de jambe , le chat , de ses pattes de devant , imita les gestes d’ un portier	ouvrant	à deux battants une large porte .	ouvrir	attributive	El gato taconeó con una pata , mientras gesticulaba extrañamente con las patas delanteras , algo característico de los porteros cuando abren una puerta .	part	VF.sub.adv	ing.part	VF.sub.adv	VF.sub.rel	part	part	0.2725120453659389	0.4323889599386835
51	fr	Et , en effet , une heure ne s' était pas écoulée , que l' honnête garçon ,	ayant	coupé son nez et rogné ses ailes , n' avait plus rien en lui qui rappelât le sectateur du dieu Tingou .	couper	anter	Menos de una hora después , el honrado mozo , después de quitarse las alas y la nariz , y de mudar de ropa , no conservaba ya nada que recordase al sectario del dios Tingú .	part	VF.sub.rel	VF.coord	InfP	part.past	Cvb.pt.pf	part	0.30180101438316237	0.1600796475238899
52	fr	En	voyant	l' obscurité se faire , et avec l' obscurité s' accroître la tourmente , John Bunsby ressentit de vives inquiétudes .	voir	cause	Con la noche , la tempestad se acentuó más , y , viendo llegar la oscuridad y con la oscuridad crecer la tormenta , John Bunsby tuvo serios temores .	ger	VF.sub.adv	VF.main	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.408330140726417	0.11886892685353406
53	fr	On se mit à la besogne , en	faisant	le moins de bruit possible .	faire	manner	Se pusieron a trabajar haciendo el menor ruido posible .	ger	Cvb.ps.impf	VF.coord	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.3879628925539092	-0.029229047435951307
54	fr	En quittant l' île de Bombay , il traverse Salcette , saute sur le continent en face de Tannah , franchit la chaîne des Ghâtes-Occidentales , court au nord-est jusqu' à Burhampour , sillonne le territoire à peu près indépendant du Bundelkund , s' élève jusqu' à Allahabad , s' infléchit vers l' est , rencontre le Gange à Bénarès , s' en écarte légèrement , et ,	redescendant	au sud-est par Burdivan et la ville française de Chandernagor , il fait tête de ligne à Calcutta .	redescendre	concom	He aquí , en suma , el trazado del "" Great Indian Peninsular Railway "" . Partiendo de Bombay atraviesa Salcette , salta al continente enfrente de Tannab , cruza la sierra de los Ghats Occidentales , corre al Noroeste hasta Burhampur , surca el territorio casi independiente de Buidelkund , se eleva hasta Allahabad , se inclina al Este , encuentra al Ganges en Benarés , se desvía ligeramente , y volviendo al Sureste por Burdiván y la ciudad francesa de Chandemagor , va a formar cabeza de línea en Calcuta .	part	VF.coord	ing.part	ger	ger	VF.main	adj	0.03559435860828173	0.028180689922129874
55	de	En se	plaçant	au point de vue de ses gardiens , K. restait étonné qu’ on le renvoyât et qu’ on le laissât seul dans sa chambre où il avait tant de facilités de se tuer .	se placer	cond	A K le sorprendió , al adoptar la perspectiva de los vigilantes , que le hubieran confinado en la habitación y le hubieran dejado solo , pues allí tenía múltiples posibilidades de quitarse la vida .	ger	PP	ing.part	InfP	ger	PP	part	-0.23291044375325112	0.1002172440749114
56	fr	Le maître présenta son passeport , en	priant	laconiquement le consul de vouloir bien y apposer son visa .	prier	concom	El primero sacó el pasaporte , rogando lacónicamente al cónsul que se sirviera visarlo .	ger	VF.coord	PP	ger	ger	Cvb.ps.impf	Cvb.pt.pf	-0.312082033445944	-0.14942789606643134
57	cs	En le	voyant	, elle lui sourit comme à un ami :	voir	cause	Al verle le sonrió como a un viejo amigo :	ger	VF.sub.adv	VF.sub.adv	InfP	VF.sub.adv	VF.sub.adv	VF.main	-0.10097514021452109	0.04881778231244744
58	fr	La jeune femme , assise à l' arrière , se sentait émue en	contemplant	cet océan , assombri déjà par le crépuscule , qu' elle bravait sur une frêle embarcation .	contempler	cause	La joven viuda , sentada a popa , se sentía conmovida al contemplar el océano , obscurecido ya por el crepúsculo , y sobre el cual se arriesgaba en una débil embarcación .	ger	PP	VF.sub.adv	InfP	ger	VF.main	Cvb.ps.impf	-0.30952902238077706	0.06150416423718384
59	fr	"" Mais voilà cinq ans que j' ai quitté la France et que ,	voulant	goûter de la vie de famille , je suis valet de chambre en Angleterre . ""	vouloir	cause	Pero hace cinco años que he abandonado la Francia , y queriendo experimentar la vida doméstica soy ayuda de cámara en Inglaterra .	part	VF.sub.adv	ing.part	ger	ger	Cvb.ps.impf	VF.sub.adv	-0.10761656425271215	0.3290881193261407
60	fr	Au moment où Mr . Fogg allait s' embarquer , il avisa un employé et le	rejoignant	:	rejoindre	concom	En el momento en que míster Fogg iba a entrar en el vagón , se dirigió a un empleado , diciéndole :	part	VF.coord	VF.coord	VF.main	VF.coord	VF.main	Cvb.ps.impf	0.21386797470263486	-0.21768806846835936
62	ru	Elle demeura là près d’ une heure , tenant sur ses genoux le cahier abîmé qu’ elle feuilleta ,	relisant	ces lignes dont le feu avait dévoré le commencement et la fin :	relire	concom	Regresó a su dormitorio con el tesoro , colocó la foto en el espejo de tres caras , se sentó delante y así permaneció cerca de una hora , sosteniendo en las rodillas el quemado cuaderno , pasando las páginas y releyendo aquello , que ahora , quemado , no tenía principio ni fin : « … la oscuridad que llegaba del mar Mediterráneo cubrió la ciudad , odiada por el procurador .	part	VF.coord	ing.part	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.09601697147065029	0.04699190205825341
64	ru	NA	Galopant	dans les airs à côté de Marguerite , Natacha raconta avec des éclats de rire ce qui s’ était passé dans la propriété après que Marguerite se fut envolée par-dessus la grille .	galoper	concom	Siempre volando al lado de Margarita , Natasha contó entre risas lo que había sucedido en el palacete después que ella sobrevoló la puerta del jardín .	part	VF.coord	VF.sub.adv	ger	VF.sub.adv	VF.coord	Cvb.ps.impf	0.12373292403798865	-0.06624890355445107
65	cs	Curieusement , l' ami des femmes et du prolétariat , le messager de l' égalité et de la fraternité , ne manifeste aucune émotion à l' idée que Christiane était une ancienne ouvrière et que Goethe avait fait preuve d' un courage hors du commun en	vivant	ouvertement avec elle , puis en l' épousant .	vivre	manner	Es curioso que el amigo de las mujeres y el proletariado , defensor de la igualdad y la fraternidad , nunca se haya emocionado por el hecho de que Christiane fuera una antigua obrera y por el extraordinario valor manifestado por Goethe al convivir primero con ella públicamente como amante y al hacerla luego ante todos su esposa .	ger	VF.sub.adv	ing.ger	InfP	ger	Cvb.ps.impf	VF.sub.compl	-0.40235310209736863	0.06822810558942272
67	de	À peine fut -il dans le vestibule ,	cherchant	à se retrouver au milieu des ténèbres , qu’ une petite main vint se poser sur la sienne qui n’ avait pas encore lâché la poignée de la porte .	chercher	concom	Apenas había entrado en el vestíbulo e intentaba orientarse en la oscuridad , cuando una mano pequeña , mucho más pequeña que la de K , se posó sobre la suya , aún en el picaporte , y cerró suavemente la puerta .	part	VF.coord	ing.part	VF.coord	VF.coord	VF.coord	VF.main	0.36479748315967647	-0.28796645049805286
68	cs	Sans ça , je suis une morte , tout en	vivant	.	vivre	concess	Si no , estoy muerta en vida .	ger	PP	ing.part	adv	adv	PP	adv	-0.14333653268249213	0.03722745066021829
70	fr	Mais ils enduraient la situation avec le flegme le plus britannique ,	causant	peu d' ailleurs , et se voyant à peine l' un l' autre .	causer	manner	Pero soportaban la situación con la flema más británica , hablando por otra parte poco y viéndose apenas el uno al otro .	part	VF.coord	ing.part	ger	ger	Cvb.ps.impf	VF.coord	-0.04388706505425402	0.10368109772496265
71	fr	Peut-être l' opinion de Fix	touchant	Phileas Fogg était -elle en effet modifiée .	toucher	attributive	Tal vez la opinión de Fix , respecto de Phileas Fogg , se había modificado ;	part	prep	prep	prep	prep	prep	prep	0.28616956476232996	0.2848558445794819
72	ru	Il s’ engagea résolument dans le couloir ,	raisonnant	ainsi :	raisonner	concom	Iván Nikoláyevich , sin sentirse turbado por su extraña situación , se dirigió hacia el pasillo directamente , guiado por esta reflexión :	part	VF.main	ing.part	part.past	ger	Cvb.ps.impf	Cvb.ps.impf	-0.11197474071349306	0.16060561267812953
73	cs	nul n' en sait le sens ou le message , mais , de même que les hiéroglyphes de l' Égypte ancienne sont plus beaux pour ceux qui ne savent pas les lire ( et ne les perçoivent qu' en tant que dessins fantastiques ) , il se peut que la Chevauchée des Rois soit si belle parce que le contenu de sa communication est perdu depuis longtemps et que ressortent d' autant plus les gestes , les couleurs , les mots ,	attirant	l' attention sur eux-mêmes , sur leur aspect , sur leur forme .	attirer	result	nadie sabe lo que de verdad significa , lo que quiere decir , pero igual que los jeroglíficos egipcios son más bellos para quienes no los saben leer ( y sólo los perciben como dibujos fantásticos ) es posible que la Cabalgata de los Reyes sea tan hermosa porque el contenido de su mensaje se perdió hace mucho y precisamente por eso destacan aún más los gestos , los colores , las palabras que llaman la atención sobre sí mismas y sobre su propio aspecto y su propia forma .	part	part	ing.part	VF.sub.rel	VF.sub.rel	Cvb.ps.impf	part	0.17056285178377187	0.3648573756341412
74	fr	Là s' arrêtèrent les deux puissantes locomotives ,	remorquant	les neuf wagons des invités , au nombre desquels figurait le vice-président , Mr. Thomas C. Durant ;	remorquer	attributive	Allí fue donde se inauguró el "" Union Pacific "" , el 23 de octubre de 1867 , cuyo ingeniero jefe fue el general J. M. Dodge , y donde se detuvieron las dos poderosas locomotoras que remolcaban los nuevos vagones de convidados , entre los cuales figuraba el vicepresidente Tomás C. Durant . Allí dieron el simulacro de un combate indio ; allí brillaron los fuegos artificiales , en medio de ruidosas aclamaciones : allí , por último , se publicó , por medio de una imprenta portátil , el primer número del "" Railway-Pioneer "" .	part	part	ing.part	VF.sub.rel	VF.sub.rel	part	part	0.3448105636595703	0.40448859342804083
75	it	— Non , vous allez voir » , dit Bernard en se	frayant	un chemin pour entrer .	frayer	concom	-No , ahora veréis -dijo Bernardo , abriéndose camino hacia el interior del edificio .	ger	VF.coord	ing.part	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.32267783579150155	-0.1025991065230747
76	cs	Mais pendant leur trajet , les aiguilles des astres vont toucher chacun des points immobiles de l' horoscope ,	mettant	ainsi en jeu ( affaiblissant , fortifiant , menaçant ) les diverses composantes de votre thème vital .	mettre	result	Pero a lo largo de su recorrido , las manecillas móviles de las estrellas tocarán los puntos fijos del horóscopo y pondrán en juego ( debilitarán , favorecerán , harán peligrar ) diversos elementos de su tema vital .	part	VF.coord	VF.coord	VF.coord	ger	VF.coord	InfP	0.27802093740281814	-0.20935780017511316
77	cs	Elle était descendue du train bien avant d' arriver dans cette ville ,	cédant	à une peur panique .	céder	cause	Se bajó del tren antes de llegar a casa porque por el camino le empezó a entrar miedo .	part	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.coord	VF.main	0.2859570352377847	0.1293525800798286
78	fr	La plupart des voyageurs connaissaient cette interruption de la voie , et , en	descendant	du train , ils s' étaient emparés des véhicules de toutes sortes que possédait la bourgade , palkigharis à quatre roues , charrettes traînées par des zébus , sortes de boeufs à bosses , chars de voyage ressemblant à des pagodes ambulantes , palanquins , poneys , etc.	descendre	anter	La mayor parte de los viajeros conocían esa interrupción de la vía , y al apearse del tren se habían apoderado de los vehículos de todo género que había en el villorrio , paikigharis de cuatro ruedas , carretas arrastradas por unos zebús , especie de bueyes de giba , carros de viaje semejantes a pagodas ambulantes , palanquines , caballos , etc .	ger	PP	ing.part	InfP	part.past	Cvb.pt.pf	Cvb.ps.impf	-0.20780545283288218	0.04373390771836528
79	fr	Et , en effet , il n' était pas une heure , que ce guide habile ,	abandonnant	la barre , se précipitait aux drisses des voiles et les amenait en bande , pendant que le traîneau , emporté par son irrésistible élan , franchissait encore un demi-mille à sec de toile .	abandonner	sim	Y , en efecto , no era la una de la tarde cuando , abandonando la barra , el patrón recogía velas , mientras que el trineo , arrastrado por su irresistible vuelo , recorría aún media milla sin velamen .	part	VF.sub.adv	VF.coord	ger	ger	VF.coord	VF.main	0.12457023547756021	0.024084431519521228
80	ru	- Et vos papiers , aussi , continua Koroviev en les	donnant	à Marguerite .	donner	concom	-También sus documentos -seguía Koróviev , entregándoselos a Margarita ; luego , volviéndose a Voland , añadió respetuoso- : ¡ Eso es todo , messere !	ger	VF.coord	ing.part	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.3226778357915015	-0.10259910652307472
82	fr	Le capitaine ,	voyant	un pavillon en berne , s' était dirigé vers la petite goélette .	voir	cause	Viendo el capitán la bandera de auxilio , se dirigió a la goleta , y algunos instantes después , Phileas Fogg , pagando su pasaje según lo convenido , metía en el bolsillo del patrón John Bunsby ciento cincuenta libras .	part	VF.sub.adv	VF.main	ger	ger	PP	Cvb.pt.pf	-0.009445082391004922	0.2978986494704353
84	fr	"" Monsieur "" , lui dit-il en le	regardant	fixement , "" c' est du lapin , cela ? ""	regarder	concom	-Señor -le dijo mirándole cara a cara- , ¿ es esto conejo ?	ger	Cvb.ps.impf	ing.part	ger	ger	Cvb.ps.impf	Cvb.pt.pf	-0.3677185505345309	0.015152711394750494
